president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Voters,2/27/20,44.094298,48.913509,39.275088,51.985257,56.877478,47.093037,2/27/20 23:55
Donald Trump,Adults,2/27/20,41.526025,45.336395,37.715656,53.488407,57.913033,49.063782,2/27/20 23:54
Donald Trump,All polls,2/27/20,43.39028,48.271116,38.509444,52.068106,56.804065,47.332148,2/27/20 23:53
Donald Trump,Adults,2/26/20,41.526025,45.336363,37.715688,53.488407,57.913017,49.063798,2/26/20 15:46
Donald Trump,Voters,2/26/20,44.015076,48.790769,39.239383,52.071253,56.970195,47.172311,2/26/20 15:47
Donald Trump,All polls,2/26/20,43.242829,48.079469,38.406189,52.191632,56.931948,47.451317,2/26/20 15:45
Donald Trump,Voters,2/25/20,44.219495,49.001005,39.437985,51.813526,56.704733,46.922319,2/25/20 13:39
Donald Trump,Adults,2/25/20,41.436174,45.300283,37.572065,53.655948,58.133577,49.178318,2/25/20 13:38
Donald Trump,All polls,2/25/20,43.27698,48.091026,38.462934,52.2268,56.994771,47.45883,2/25/20 13:37
Donald Trump,Adults,2/24/20,41.621152,45.515787,37.726516,53.405953,57.867042,48.944863,2/24/20 23:39
Donald Trump,Voters,2/24/20,44.033721,48.69588,39.371561,52.019836,56.8605,47.179171,2/24/20 23:40
Donald Trump,All polls,2/24/20,43.296293,47.980601,38.611984,52.245174,56.963821,47.526526,2/24/20 23:38
Donald Trump,Voters,2/23/20,44.09074,48.68922,39.49226,51.927147,56.705214,47.14908,2/24/20 9:50
Donald Trump,All polls,2/23/20,43.309826,47.930462,38.689191,52.185511,56.815145,47.555878,2/24/20 9:42
Donald Trump,Adults,2/23/20,41.621266,45.51568,37.726852,53.405936,57.866666,48.945206,2/24/20 9:46
Donald Trump,Adults,2/22/20,41.621266,45.515687,37.726845,53.405936,57.866668,48.945204,2/24/20 9:47
Donald Trump,All polls,2/22/20,43.309826,47.930467,38.689186,52.185511,56.815144,47.555879,2/24/20 9:44
Donald Trump,Voters,2/22/20,44.09074,48.689218,39.492262,51.927147,56.705214,47.14908,2/24/20 9:51
Donald Trump,Voters,2/21/20,44.09074,48.689221,39.492259,51.927147,56.705214,47.149079,2/21/20 14:04
Donald Trump,Adults,2/21/20,41.621266,45.515693,37.726839,53.405936,57.866675,48.945198,2/21/20 14:03
Donald Trump,All polls,2/21/20,43.309826,47.930468,38.689185,52.185511,56.815143,47.55588,2/21/20 14:02
Donald Trump,Voters,2/20/20,45.210504,49.124259,41.29675,50.713952,54.926508,46.501396,2/20/20 18:07
Donald Trump,Adults,2/20/20,42.453035,46.121637,38.784433,52.483543,56.36999,48.597096,2/20/20 18:06
Donald Trump,All polls,2/20/20,43.98954,48.354699,39.624381,51.463092,55.669786,47.256398,2/20/20 18:05
Donald Trump,Adults,2/19/20,42.397958,45.584779,39.211136,52.329106,55.86276,48.795451,2/19/20 22:40
Donald Trump,Voters,2/19/20,45.79354,49.831526,41.755554,50.131318,54.510723,45.751913,2/19/20 22:41
Donald Trump,All polls,2/19/20,44.337416,48.865437,39.809394,50.975117,55.256465,46.693769,2/19/20 22:39
Donald Trump,Adults,2/18/20,42.353427,46.120215,38.58664,52.498854,56.5582,48.439508,2/18/20 23:33
Donald Trump,Voters,2/18/20,45.648356,49.903004,41.393709,50.012939,54.75014,45.275738,2/18/20 23:34
Donald Trump,All polls,2/18/20,44.570087,49.176058,39.964116,50.954282,55.515496,46.393068,2/18/20 23:32
Donald Trump,Voters,2/17/20,44.682075,49.12677,40.237379,51.658793,55.752224,47.565362,2/17/20 15:09
Donald Trump,Adults,2/17/20,42.353427,46.12021,38.586645,52.498854,56.558202,48.439506,2/17/20 15:08
Donald Trump,All polls,2/17/20,43.856667,48.611809,39.101525,51.93552,55.910576,47.960465,2/17/20 15:07
Donald Trump,Voters,2/16/20,44.050822,48.290183,39.81146,52.114048,56.023859,48.204236,2/16/20 13:32
Donald Trump,All polls,2/16/20,43.441661,47.940296,38.943027,52.239039,56.087923,48.390155,2/16/20 13:27
Donald Trump,Adults,2/16/20,42.316982,46.064133,38.569832,52.473988,56.479756,48.468219,2/16/20 13:30
Donald Trump,Adults,2/15/20,42.316982,46.064141,38.569824,52.473988,56.479786,48.46819,2/16/20 13:31
Donald Trump,All polls,2/15/20,43.314642,47.816147,38.813138,52.1884,56.049766,48.327035,2/16/20 13:29
Donald Trump,Voters,2/15/20,43.980874,48.227616,39.734132,52.153646,56.074478,48.232815,2/16/20 13:33
Donald Trump,Voters,2/14/20,43.980874,48.227616,39.734132,52.153646,56.074479,48.232814,2/14/20 9:43
Donald Trump,Adults,2/14/20,42.316982,46.064123,38.569842,52.473988,56.479763,48.468213,2/14/20 9:42
Donald Trump,All polls,2/14/20,43.314642,47.816153,38.813131,52.1884,56.049769,48.327031,2/14/20 9:41
Donald Trump,Voters,2/13/20,44.016157,48.288334,39.74398,52.204223,56.117718,48.290728,2/13/20 16:57
Donald Trump,Adults,2/13/20,42.316982,46.064136,38.569829,52.473988,56.479769,48.468207,2/13/20 16:56
Donald Trump,All polls,2/13/20,43.341663,47.860409,38.822916,52.215621,56.07534,48.355903,2/13/20 16:55
Donald Trump,Adults,2/12/20,42.316982,46.064145,38.56982,52.473988,56.479772,48.468204,2/12/20 17:15
Donald Trump,Voters,2/12/20,44.320303,48.523246,40.117359,51.789249,55.723782,47.854715,2/12/20 17:16
Donald Trump,All polls,2/12/20,43.462463,47.9456,38.979327,51.971277,55.85967,48.082885,2/12/20 17:14
Donald Trump,Voters,2/11/20,44.241162,48.456321,40.026003,51.938022,55.868914,48.00713,2/11/20 23:04
Donald Trump,Adults,2/11/20,42.569932,46.334077,38.805788,52.389968,56.46144,48.318496,2/11/20 23:03
Donald Trump,All polls,2/11/20,43.624559,47.988089,39.261029,51.97237,55.848387,48.096353,2/11/20 23:02
